base,divisa,tipo_cambio
GBP,New Zealand Dollar,2.303107
GBP,Norwegian Krone,12.943455
GBP,Omani Rial,0.514286
GBP,Pakistani Rupee,372.787654
GBP,Philippine Peso,80.510335
GBP,Polish Zloty,4.942137
GBP,Qatari Riyal,4.863221
GBP,Romanian New Leu,5.886595
GBP,Russian Ruble,108.213191
GBP,Saudi Arabian Riyal,5.010186
GBP,Singapore Dollar,1.712236
GBP,South African Rand,22.695637
GBP,South Korean Won,2011.880645
GBP,Sri Lankan Rupee,420.418871
GBP,Swedish Krona,12.494724
GBP,Swiss Franc,1.057971
GBP,Taiwan New Dollar,42.715848
GBP,Thai Baht,43.803882
GBP,Trinidadian Dollar,9.086467
GBP,Turkish Lira,59.269943
GBP,US Dollar,1.336050
