base,divisa,tipo_cambio
GBP,New Zealand Dollar,2.302878
GBP,Norwegian Krone,12.945443
GBP,Omani Rial,0.514388
GBP,Pakistani Rupee,372.826886
GBP,Philippine Peso,80.451593
GBP,Polish Zloty,4.942493
GBP,Qatari Riyal,4.863842
GBP,Romanian New Leu,5.886940
GBP,Russian Ruble,108.157950
GBP,Saudi Arabian Riyal,5.010826
GBP,Singapore Dollar,1.712556
GBP,South African Rand,22.687846
GBP,South Korean Won,2011.415490
GBP,Sri Lankan Rupee,420.153659
GBP,Swedish Krona,12.492912
GBP,Swiss Franc,1.058227
GBP,Taiwan New Dollar,42.686855
GBP,Thai Baht,43.759620
GBP,Trinidadian Dollar,9.082407
GBP,Turkish Lira,59.284584
GBP,US Dollar,1.336220
